 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.1.212:8080
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 136-453-271
192.168.1.132 - - [21/Nov/2025 17:10:00] code 400, message Bad request version ('\x11ÜjÄñ]²@\x82\xadírÙgNO\x11#ý¬i\x00\x03È3ö\x14!ËW\x0f~\x00*\x9a\x9a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À')
192.168.1.132 - - [21/Nov/2025 17:10:00] "\x16\x03\x01\x05ý\x01\x00\x05ù\x03\x03U­Â\x95\x1f \x00\x84\x1c\x18(úuat\x1bJët¦ED\x19Ì<}'O½C¿c \x11ÜjÄñ]²@\x82­írÙgNO\x11#ý¬i\x00\x03È3ö\x14!ËW\x0f~\x00*\x9a\x9a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À" HTTPStatus.BAD_REQUEST -
192.168.1.132 - - [21/Nov/2025 17:10:00] code 400, message Bad request version ('X\xad\x01ùç\x8c\x1a×tÄÆ\x03ö.u{\x13\x00*\x1a\x1a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À')
192.168.1.132 - - [21/Nov/2025 17:10:00] "\x16\x03\x01\x05ý\x01\x00\x05ù\x03\x03tb&\x11ìGª\x93\x9c~\x05·$ì\x03©\x8cnP;Â²=\x1f\x05¥\x04k\x9dý\x0b\x05 \x0càL\x9c\x15¾âKm\x96\x0b9-i\x1eX­\x01ùç\x8c\x1a×tÄÆ\x03ö.u{\x13\x00*\x1a\x1a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À" HTTPStatus.BAD_REQUEST -
192.168.1.132 - - [21/Nov/2025 17:10:00] code 400, message Bad request version ('[\x00*ºº\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À')
192.168.1.132 - - [21/Nov/2025 17:10:00] "\x16\x03\x01\x05ý\x01\x00\x05ù\x03\x03\x9fÛ_ræÓÐ\x10£/'LrÞGK@Ý\x10\x9eÔ\x84ñ=Ï²~dÊü\x13\x80 ËÎ§ápàÀ¾\x03\x8bÃðB\x95ºµE+\x08\x17çüP¦¸«f\x8fý\x01\x1f[\x00*ºº\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À" HTTPStatus.BAD_REQUEST -
192.168.1.132 - - [21/Nov/2025 17:10:00] code 400, message Bad request version ('>Ã\x10C×iÆÅè\x00*\x9a\x9a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À')
192.168.1.132 - - [21/Nov/2025 17:10:00] "\x16\x03\x01\x05ý\x01\x00\x05ù\x03\x03éP\x1c{,\x89\x03ÕS\x0b>]N,fi[æV5lÈª4¾ÒºGC+ë! ²5\\&Ôz\x12?´\x85ctcÂ\x9eÅ\x97¾\x99ø#k\x1c>Ã\x10C×iÆÅè\x00*\x9a\x9a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À" HTTPStatus.BAD_REQUEST -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET / HTTP/1.1" 200 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /manifest.json HTTP/1.1" 200 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /static/js/pwa.js HTTP/1.1" 304 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /static/js/filters.js HTTP/1.1" 304 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /static/js/main.js HTTP/1.1" 304 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /static/img/logo.png HTTP/1.1" 304 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /static/css/main.css HTTP/1.1" 304 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /static/uploads/avatar_41fb768a55e362dc.png HTTP/1.1" 304 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /api/server-time HTTP/1.1" 200 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /api/dashboard/highlights HTTP/1.1" 200 -
192.168.1.132 - - [21/Nov/2025 17:10:00] "GET /api/relays/states HTTP/1.1" 200 -
192.168.1.132 - - [21/Nov/2025 17:10:03] code 400, message Bad request version ('G.\x90ÎÊ\x05¥ºý<¦\x02ó\x7f·\x07\x00*\x1a\x1a\x13\x02\x13\x03\x13\x01À,À+Ì©À0À/Ì¨À')
